Provider ID,Provider Name,Address,City,State,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Hospital Overall Rating,Provider Data Source,Provider Data Retrieved UTC
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,public_cms_derived_mirror,2026-09-15T13:51:02.167844+00:00
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,public_cms_derived_mirror,2026-09-15T13:51:02.167844+00:00
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,Acute Care Hospitals,Proprietary,Yes,2.0,public_cms_derived_mirror,2026-09-15T13:51:02.167844+00:00
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,public_cms_derived_mirror,2026-09-15T13:51:02.167844+00:00
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,Acute Care Hospitals,Proprietary,Yes,,public_cms_derived_mirror,2026-09-15T13:51:02.167844+00:00
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,public_cms_derived_mirror,2026-09-15T13:51:02.167844+00:00
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,Acute Care Hospitals,Proprietary,Yes,3.0,public_cms_derived_mirror,2026-09-15T13:51:02.167844+00:00
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,public_cms_derived_mirror,2026-09-15T13:51:02.167844+00:00
010018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD STE 305,BIRMINGHAM,AL,35233,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,public_cms_derived_mirror,2026-09-15T13:51:02.167844+00:00
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,public_cms_derived_mirror,2026-09-15T13:51:02.167844+00:00
